estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LogisticRegression,0.5371428571428571,0.6095107855107855,0.6524216524216524,0.0323544114206977,1.0,,,,
MultilayerPerceptron,0.5371428571428571,0.6095107855107855,0.6524216524216524,0.0323544114206977,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.5371428571428571,0.6092258852258852,0.6495726495726496,0.03198574394186185,10000.0,,,,
MultilayerPerceptron,0.5371428571428571,0.6092258852258852,0.6524216524216524,0.0324142714573177,,,,relu,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.5371428571428571,0.608940984940985,0.6495726495726496,0.03204375968731801,,,,,
SupportVectorMachine,0.5371428571428571,0.6086560846560847,0.6495726495726496,0.03153792831037248,0.1,,,,
RandomForest,0.5371428571428571,0.6072291412291413,0.6438746438746439,0.030851531919190916,,,10,,
DecisionTree,0.54,0.606947496947497,0.6410256410256411,0.02950344310890138,,gini,,,
DecisionTree,0.54,0.606947496947497,0.6410256410256411,0.02950344310890138,,entropy,,,
SupportVectorMachine,0.5371428571428571,0.606946682946683,0.6438746438746439,0.030756922079325646,100,,,,
RandomForest,0.54,0.6069458689458689,0.6438746438746439,0.030391879788326134,,,100,,
LogisticRegression,0.5342857142857143,0.6023842083842084,0.6438746438746439,0.03229778669214551,0.0001,,,,
BernoulliNaiveBayes,0.54,0.6018160358160358,0.6381766381766382,0.029773503699752936,,,,,
QuadraticDiscriminantAnalysis,0.4985754985754986,0.5002849002849004,0.5014245014245015,0.0010659992554911575,,,,,
K-NearestNeighbor,0.44571428571428573,0.49739519739519744,0.5441595441595442,0.03059710844445066,,,,,
