estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5257142857142857,0.602944240944241,0.6438746438746439,0.034063479147473166,,,,,
QuadraticDiscriminantAnalysis,0.5257142857142857,0.602944240944241,0.6438746438746439,0.034063479147473166,,,,,
LogisticRegression,0.5257142857142857,0.602944240944241,0.6438746438746439,0.034063479147473166,1.0,,,,
LogisticRegression,0.5257142857142857,0.602944240944241,0.6438746438746439,0.034063479147473166,10000.0,,,,
MultilayerPerceptron,0.5257142857142857,0.602944240944241,0.6438746438746439,0.034063479147473166,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.5228571428571429,0.6026585266585267,0.6438746438746439,0.034715799119369777,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5257142857142857,0.6018046398046397,0.6438746438746439,0.03350449184603016,0.1,,,,
RandomForest,0.5228571428571429,0.6012348392348393,0.6438746438746439,0.033441407727325394,,,10,,
DecisionTree,0.5257142857142857,0.600951566951567,0.6353276353276354,0.03155627317879477,,gini,,,
DecisionTree,0.5257142857142857,0.600951566951567,0.6353276353276354,0.03155627317879477,,entropy,,,
