estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6463878326996197,0.6887219428431253,0.747148288973384,0.03285105934052393,,gini,,,
DecisionTree,0.6463878326996197,0.6887219428431253,0.747148288973384,0.03285105934052393,,entropy,,,
RandomForest,0.6463878326996197,0.6887219428431253,0.747148288973384,0.03285105934052393,,,10,,
RandomForest,0.6463878326996197,0.6887219428431253,0.747148288973384,0.03285105934052393,,,100,,
SupportVectorMachine,0.6463878326996197,0.6887219428431253,0.747148288973384,0.03285105934052393,100,,,,
MultilayerPerceptron,0.6444866920152091,0.6877713725009199,0.747148288973384,0.03228046724133997,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.6463878326996197,0.6873911443640378,0.7414448669201521,0.031467834984495305,0.1,,,,
QuadraticDiscriminantAnalysis,0.6463878326996197,0.6872010302955968,0.7414448669201521,0.03160556707035829,,,,,
MultilayerPerceptron,0.6444866920152091,0.6862504599533914,0.7414448669201521,0.031440331121629944,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.6261859582542695,0.673330279002316,0.7376425855513308,0.03429485976992443,,,,,
LogisticRegression,0.6261859582542695,0.6685774272912892,0.7167300380228137,0.029825354565927806,1.0,,,,
LogisticRegression,0.6261859582542695,0.6685774272912892,0.7167300380228137,0.029825354565927806,10000.0,,,,
BernoulliNaiveBayes,0.6242884250474383,0.6659151088375985,0.7167300380228137,0.0286412797043337,,,,,
LogisticRegression,0.6110056925996205,0.6548924610933544,0.7186311787072244,0.03360308749916348,0.0001,,,,
K-NearestNeighbor,0.5285171102661597,0.5912381584548452,0.6787072243346007,0.05293421288325252,,,,,
