estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.6387832699619772,0.6894838421079212,0.7452471482889734,0.033875568076718716,,,10,,
SupportVectorMachine,0.6463878326996197,0.6877724547441937,0.752851711026616,0.03255736373790062,0.1,,,,
DecisionTree,0.6368821292775665,0.6866321310813053,0.7452471482889734,0.03323225372476848,,gini,,,
DecisionTree,0.6368821292775665,0.6866321310813053,0.7452471482889734,0.03323225372476848,,entropy,,,
MultilayerPerceptron,0.6387832699619772,0.6864416562651063,0.7414448669201521,0.03442887555320549,,,,relu,"(17, 8, 17)"
RandomForest,0.6368821292775665,0.6862519029444231,0.7452471482889734,0.03319021321234964,,,100,,
SupportVectorMachine,0.6368821292775665,0.6849211044653357,0.7452471482889734,0.031672654964425354,100,,,,
MultilayerPerceptron,0.6311787072243346,0.6837789770636575,0.7357414448669202,0.03020446868013889,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.6280834914611005,0.6643960000288598,0.7300380228136882,0.03211904685953535,10000.0,,,,
LinearDiscriminantAnalysis,0.6197718631178707,0.6632553156182135,0.7300380228136882,0.03345331845451584,,,,,
LogisticRegression,0.6140684410646388,0.661924517139126,0.7300380228136882,0.03442409401041091,1.0,,,,
BernoulliNaiveBayes,0.6072106261859582,0.648436519217033,0.7395437262357415,0.04094267014397208,,,,,
LogisticRegression,0.5749525616698292,0.6282923644129552,0.7015209125475285,0.03572713172516705,0.0001,,,,
K-NearestNeighbor,0.5123339658444023,0.5410516518639837,0.5627376425855514,0.014558205775553557,,,,,
QuadraticDiscriminantAnalysis,0.4990512333965844,0.5,0.5009487666034156,0.00042430132400376645,,,,,
