estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LogisticRegression,0.5205254515599343,0.5341632637628554,0.5566502463054187,0.012826557415790888,1.0,,,,
LinearDiscriminantAnalysis,0.5205254515599343,0.533999060150376,0.5566502463054187,0.012630731536666561,,,,,
LogisticRegression,0.5205254515599343,0.533999060150376,0.5566502463054187,0.012630731536666561,10000.0,,,,
SupportVectorMachine,0.5188834154351396,0.5338359368248207,0.5566502463054187,0.012647159519239334,0.1,,,,
SupportVectorMachine,0.5188834154351396,0.5336717332123413,0.5566502463054187,0.012807236717727991,100,,,,
RandomForest,0.5205254515599343,0.5336711930688791,0.5566502463054187,0.012572428307471876,,,10,,
BernoulliNaiveBayes,0.5205254515599343,0.5336703828536858,0.5566502463054187,0.012495169471739743,,,,,
DecisionTree,0.5188834154351396,0.5333427858439201,0.5566502463054187,0.012907068420794683,,gini,,,
DecisionTree,0.5188834154351396,0.5333427858439201,0.5566502463054187,0.012907068420794683,,entropy,,,
RandomForest,0.5188834154351396,0.5333427858439201,0.5566502463054187,0.012907068420794683,,,100,,
