estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.6283255086071987,0.6661479798481132,0.6953797963978073,0.01989001848894824,,,,tanh,"(17, 8, 17)"
DecisionTree,0.6267605633802817,0.6658345618827382,0.687793427230047,0.018421043835247453,,gini,,,
DecisionTree,0.6267605633802817,0.6658345618827382,0.687793427230047,0.018421043835247453,,entropy,,,
SupportVectorMachine,0.6267605633802817,0.6657563146213923,0.687793427230047,0.01845885077631436,100,,,,
MultilayerPerceptron,0.6259780907668232,0.6657560082499696,0.6924882629107981,0.019489973413689562,,,,relu,"(17, 8, 17)"
RandomForest,0.6267605633802817,0.665130275256341,0.6859827721221613,0.017678813486669265,,,100,,
RandomForest,0.6259780907668232,0.6648170411138195,0.6859827721221613,0.01769814953755001,,,10,,
LinearDiscriminantAnalysis,0.6236306729264476,0.6643470673514681,0.6844166014095536,0.017585390315880533,,,,,
SupportVectorMachine,0.6251956181533647,0.6641905728287764,0.682850430696946,0.0167940441425263,0.1,,,,
LogisticRegression,0.6236306729264476,0.6640340783060846,0.6844166014095536,0.017749454435514754,10000.0,,,,
LogisticRegression,0.6236306729264476,0.6639557697704543,0.6836335160532498,0.017584428134182865,1.0,,,,
BernoulliNaiveBayes,0.6162881754111198,0.6485355445997134,0.6815336463223787,0.022411832503940302,,,,,
LogisticRegression,0.6115896632732968,0.6342139673506102,0.6596244131455399,0.015678178420865378,0.0001,,,,
K-NearestNeighbor,0.513302034428795,0.522930614225683,0.5406885758998435,0.007930293877159577,,,,,
QuadraticDiscriminantAnalysis,0.49960845732184805,0.5,0.5003915426781519,0.00017510320888800219,,,,,
