estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6805455850681982,0.6964682814730467,0.7112068965517241,0.009496809586164707,,gini,,,
DecisionTree,0.6805455850681982,0.6964682814730467,0.7112068965517241,0.009496809586164707,,entropy,,,
RandomForest,0.6805455850681982,0.6964682814730467,0.7112068965517241,0.009496809586164707,,,10,,
RandomForest,0.6805455850681982,0.6964682814730467,0.7112068965517241,0.009496809586164707,,,100,,
SupportVectorMachine,0.6805455850681982,0.6964682814730467,0.7112068965517241,0.009496809586164707,0.1,,,,
SupportVectorMachine,0.6805455850681982,0.6964682814730467,0.7112068965517241,0.009496809586164707,100,,,,
MultilayerPerceptron,0.6805455850681982,0.6964682814730467,0.7112068965517241,0.009496809586164707,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.6805455850681982,0.6964682814730467,0.7112068965517241,0.009496809586164707,,,,relu,"(17, 8, 17)"
BernoulliNaiveBayes,0.6647523330940417,0.6826090118078075,0.6968390804597702,0.009734605623023479,,,,,
LogisticRegression,0.6539842067480258,0.6729868554595638,0.6882183908045977,0.010287678615860215,10000.0,,,,
LogisticRegression,0.6539842067480258,0.6715500738503685,0.6824712643678161,0.009709339694307942,1.0,,,,
LinearDiscriminantAnalysis,0.6518305814788227,0.6701141689564407,0.6819813352476669,0.010594192489923122,,,,,
LogisticRegression,0.6353194544149318,0.6513718015364177,0.6704953338119167,0.012225227617713748,0.0001,,,,
QuadraticDiscriminantAnalysis,0.4892241379310345,0.5708670610853941,0.6489590811198851,0.058884371131725975,,,,,
K-NearestNeighbor,0.4989231873653984,0.49978458590159336,0.5003589375448672,0.0005372567872761802,,,,,
