estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.5027187345526446,0.5265977363191743,0.5539070227497527,0.015513109066305663,,gini,,,
DecisionTree,0.5027187345526446,0.5265977363191743,0.5539070227497527,0.015513109066305663,,entropy,,,
SupportVectorMachine,0.5027187345526446,0.5265977363191743,0.5539070227497527,0.015513109066305663,100,,,,
RandomForest,0.5027187345526446,0.5265483047818534,0.5539070227497527,0.015500120389328574,,,10,,
RandomForest,0.5027187345526446,0.5265483047818534,0.5539070227497527,0.015500120389328574,,,100,,
SupportVectorMachine,0.5022244191794365,0.5262517155579285,0.5539070227497527,0.015746361945048845,0.1,,,,
MultilayerPerceptron,0.5027187345526446,0.5200722111152019,0.5539070227497527,0.014605667348010155,,,,relu,"(17, 8, 17)"
QuadraticDiscriminantAnalysis,0.5049455984174085,0.5193785072066879,0.5304003954522986,0.008029498282065369,,,,,
MultilayerPerceptron,0.5022244191794365,0.5185897294857897,0.5539070227497527,0.01428729673728966,,,,tanh,"(17, 8, 17)"
BernoulliNaiveBayes,0.4950544015825915,0.515967388875606,0.5353435491843797,0.014537799444923638,,,,,
