estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.4961759082217973,0.615657734637306,0.7760765550239235,0.09611408963708426,,gini,,,
DecisionTree,0.4961759082217973,0.615657734637306,0.7760765550239235,0.09611408963708426,,entropy,,,
RandomForest,0.4961759082217973,0.615657734637306,0.7760765550239235,0.09611408963708426,,,100,,
RandomForest,0.4961759082217973,0.6155620408574017,0.7751196172248804,0.09595466885920617,,,10,,
SupportVectorMachine,0.4961759082217973,0.6155620408574017,0.7751196172248804,0.09595466885920617,100,,,,
MultilayerPerceptron,0.497131931166348,0.615275051003138,0.7751196172248804,0.09631288267764303,,,,relu,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.497131931166348,0.6150838464142279,0.7770334928229665,0.09678231570486598,,,,,
LogisticRegression,0.497131931166348,0.6150838464142279,0.7770334928229665,0.09678231570486598,1.0,,,,
LogisticRegression,0.497131931166348,0.6150838464142279,0.7770334928229665,0.09678231570486598,10000.0,,,,
SupportVectorMachine,0.497131931166348,0.6149881526343236,0.7760765550239235,0.09662248134494335,0.1,,,,
