estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LogisticRegression,0.4967741935483871,0.5009667046986828,0.5032258064516129,0.0019351392064011637,10000.0,,,,
DecisionTree,0.4967741935483871,0.5009667046986828,0.5032258064516129,0.0019351392064011637,,gini,,,
DecisionTree,0.4967741935483871,0.5009667046986828,0.5032258064516129,0.0019351392064011637,,entropy,,,
LinearDiscriminantAnalysis,0.4967741935483871,0.5006451612903225,0.5032258064516129,0.002064715145504445,,,,,
SupportVectorMachine,0.4967741935483871,0.5003236178819624,0.5032258064516129,0.0021388205135261496,0.1,,,,
LogisticRegression,0.4967741935483871,0.5003225806451612,0.5032258064516129,0.0018800640211563905,1.0,,,,
BernoulliNaiveBayes,0.4967741935483871,0.5003225806451612,0.5032258064516129,0.0018800640211563905,,,,,
SupportVectorMachine,0.4967741935483871,0.5003225806451612,0.5032258064516129,0.0018800640211563905,100,,,,
RandomForest,0.4983922829581994,0.5000010372368011,0.5032258064516129,0.0012480114053027571,,,10,,
QuadraticDiscriminantAnalysis,0.4983922829581994,0.5,0.5016077170418006,0.0007189929188102145,,,,,
