estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.4874326750448833,0.5395805524470458,0.5888689407540395,0.032779976710259305,,,100,,
DecisionTree,0.48922800718132853,0.539311252626579,0.5879712746858169,0.032105202217174764,,gini,,,
DecisionTree,0.48922800718132853,0.539311252626579,0.5879712746858169,0.032105202217174764,,entropy,,,
RandomForest,0.49012567324955114,0.5391317194129344,0.5870736086175943,0.03198295248095029,,,10,,
SupportVectorMachine,0.4874326750448833,0.53895218619929,0.5879712746858169,0.032266361533823444,100,,,,
SupportVectorMachine,0.4883303411131059,0.5385932002801684,0.5870736086175943,0.03186001379130954,0.1,,,,
MultilayerPerceptron,0.4874326750448833,0.538593119772001,0.5870736086175943,0.03210806808784582,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.4874326750448833,0.5379648340324126,0.5861759425493717,0.03127803963444582,,,,tanh,"(17, 8, 17)"
BernoulliNaiveBayes,0.4236983842010772,0.5198343141911747,0.6014362657091562,0.047794339248645304,,,,,
LinearDiscriminantAnalysis,0.4488330341113106,0.5181287486615517,0.6014362657091562,0.04347205361068549,,,,,
